iter	Passed	Remaining
0	188	37552
1	196	19454
2	208	13682
3	215	10562
4	220	8585
5	234	7594
6	240	6627
7	249	5982
8	254	5397
9	265	5044
10	270	4641
11	277	4353
12	282	4067
13	287	3821
14	293	3621
15	297	3424
16	300	3236
17	304	3080
18	308	2942
19	313	2819
20	317	2702
21	321	2601
22	326	2513
23	330	2421
24	333	2337
25	340	2278
26	345	2215
27	351	2159
28	357	2107
29	362	2052
30	367	2002
31	372	1956
32	377	1908
33	381	1864
34	387	1828
35	392	1786
36	397	1750
37	407	1735
38	420	1736
39	425	1703
40	430	1671
41	435	1638
42	439	1605
43	443	1573
44	448	1544
45	452	1515
46	457	1489
47	461	1461
48	468	1442
49	472	1417
50	477	1396
51	483	1375
52	487	1352
53	492	1332
54	499	1317
55	504	1298
56	511	1283
57	516	1264
58	521	1246
59	528	1233
60	533	1216
61	538	1198
62	544	1184
63	549	1166
64	555	1154
65	561	1140
66	567	1126
67	571	1109
68	575	1093
69	579	1075
70	583	1060
71	588	1045
72	592	1030
73	595	1014
74	600	1000
75	606	988
76	611	976
77	616	963
78	622	953
79	627	940
80	631	928
81	638	918
82	643	906
83	648	894
84	655	886
85	660	874
86	665	864
87	670	852
88	674	841
89	679	830
90	684	819
91	687	807
92	691	795
93	697	786
94	701	775
95	707	766
96	717	762
97	725	755
98	732	747
99	737	737
100	742	728
101	748	718
102	752	708
103	758	699
104	763	690
105	768	681
106	774	673
107	779	664
108	784	655
109	791	647
110	798	640
111	810	636
112	818	630
113	826	623
114	831	614
115	842	609
116	846	600
117	850	590
118	857	583
119	863	575
120	867	566
121	871	557
122	876	548
123	881	540
124	887	532
125	891	523
126	896	515
127	902	507
128	907	499
129	913	491
130	924	486
131	935	481
132	939	473
133	944	465
134	951	458
135	955	449
136	959	441
137	965	433
138	970	425
139	974	417
140	980	410
141	985	402
142	992	395
143	1000	388
144	1015	385
145	1028	380
146	1037	374
147	1048	368
148	1061	363
149	1075	358
150	1108	359
151	1124	355
152	1136	349
153	1161	346
154	1172	340
155	1178	332
156	1183	324
157	1200	318
158	1212	312
159	1227	306
160	1243	301
161	1308	306
162	1322	300
163	1334	292
164	1345	285
165	1360	278
166	1371	270
167	1383	263
168	1392	255
169	1401	247
170	1415	240
171	1434	233
172	1444	225
173	1455	217
174	1460	208
175	1472	200
176	1484	192
177	1489	184
178	1496	175
179	1500	166
180	1505	158
181	1515	149
182	1519	141
183	1522	132
184	1528	123
185	1532	115
186	1536	106
187	1542	98
188	1548	90
189	1553	81
190	1565	73
191	1571	65
192	1578	57
193	1582	48
194	1587	40
195	1593	32
196	1597	24
197	1602	16
198	1608	8
199	1612	0
