Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
D2,02/08/2024,19:30,1. FC Köln,Hamburger SV,1,2,A,0,2,A,26,9,4,6,18,7,6,3,2,2,0,0,2.45,3.4,2.8,2.35,3.6,2.8,2.3,3.5,2.75,2.41,3.73,2.86,2.3,3.6,2.7,2.36,3.64,2.83,2.45,3.8,2.9,2.36,3.62,2.8,2.44,3.8,2.98,1.57,2.35,1.61,2.42,1.61,2.47,1.57,2.37,1.63,2.52,-0.25,2.08,1.73,2.11,1.82,2.13,1.82,2.04,1.79,2.12,1.87,2.0,3.6,3.5,2.05,3.7,3.3,2.05,3.7,3.1,2.1,3.76,3.43,2.0,3.7,3.25,2.06,3.68,3.6,2.15,3.88,3.6,2.05,3.74,3.34,2.14,3.9,3.55,1.53,2.4,1.57,2.51,1.57,2.58,1.54,2.44,1.62,2.58,-0.25,1.75,2.05,1.84,2.08,1.95,2.18,1.8,2.04,1.87,2.13
D2,10/08/2024,12:00,Elversberg,1. FC Köln,2,2,D,0,1,A,10,23,3,9,13,13,4,13,3,2,0,0,3.4,3.6,2.05,3.25,3.7,2.1,3.4,3.7,1.95,3.42,3.88,2.04,3.25,3.7,2.0,3.39,3.76,2.04,3.42,3.93,2.1,3.31,3.76,2.04,3.6,3.95,2.1,1.65,2.2,1.67,2.28,1.67,2.32,1.64,2.23,1.68,2.4,0.5,1.83,2.03,1.85,2.05,1.88,2.08,1.81,2.02,1.89,2.1,4.0,3.9,1.83,3.75,4.0,1.85,3.9,3.8,1.8,3.94,4.11,1.85,3.6,3.9,1.83,4.21,3.96,1.83,4.21,4.11,1.87,3.84,3.99,1.83,4.2,4.2,1.9,1.48,2.6,1.52,2.64,1.52,2.75,1.48,2.58,1.54,2.82,0.5,2.03,1.83,2.05,1.87,2.05,1.88,1.99,1.83,2.1,1.9
D2,10/08/2024,19:30,Hamburger SV,Hertha,1,1,D,1,0,H,13,13,3,4,9,8,9,11,2,2,0,0,1.8,4.2,3.7,1.83,4.33,3.6,1.8,4.2,3.8,1.84,4.07,3.79,1.75,4.33,3.6,1.85,4.2,3.67,1.87,4.34,3.88,1.83,4.14,3.69,1.87,4.4,4.0,1.4,2.88,1.42,2.92,1.42,3.15,1.39,2.89,1.44,3.0,-0.5,1.83,2.03,1.85,2.02,1.87,2.06,1.81,1.99,1.87,2.12,1.65,4.5,4.33,1.68,4.2,4.4,1.62,3.9,4.33,1.68,4.38,4.71,1.65,4.2,4.33,1.66,4.6,4.59,1.72,4.6,4.71,1.66,4.29,4.42,1.74,4.4,4.8,1.44,2.7,1.46,2.82,1.46,3.15,1.42,2.81,1.49,3.0,-0.75,1.83,2.03,1.85,2.07,1.92,2.08,1.82,2.01,1.91,2.07
D2,23/08/2024,17:30,Hannover,Hamburger SV,1,0,H,0,0,D,9,8,3,1,20,18,1,3,4,4,0,1,2.3,3.6,2.8,2.45,3.6,2.65,2.3,3.5,2.75,2.38,3.76,2.88,2.38,3.6,2.62,2.38,3.72,2.73,2.45,3.76,2.88,2.37,3.65,2.76,2.5,3.8,2.96,1.62,2.25,1.64,2.35,1.64,2.42,1.59,2.3,1.66,2.44,-0.25,2.05,1.8,2.08,1.83,2.12,1.83,2.05,1.77,2.17,1.85,2.55,3.6,2.55,2.55,3.6,2.55,2.5,3.5,2.6,2.65,3.69,2.6,2.5,3.6,2.5,2.54,3.59,2.59,2.65,3.75,2.61,2.56,3.61,2.56,2.62,3.8,2.78,1.62,2.25,1.66,2.32,1.67,2.41,1.61,2.29,1.68,2.44,0.0,1.95,1.9,1.97,1.93,1.98,1.97,1.92,1.93,1.93,2.05
D2,24/08/2024,19:30,1. FC Köln,Braunschweig,5,0,H,2,0,H,22,6,13,3,14,7,8,2,2,1,0,0,1.48,4.5,6.0,1.49,4.75,5.75,1.44,4.75,6.0,1.45,4.84,6.13,1.44,4.6,5.8,1.47,4.85,6.05,1.5,5.0,6.3,1.47,4.75,5.92,1.52,5.0,6.6,1.48,2.6,1.49,2.66,1.51,2.66,1.47,2.59,1.52,2.72,-1.25,2.03,1.83,2.0,1.87,2.11,1.87,1.99,1.84,2.01,1.84,1.42,4.75,6.25,1.43,5.0,6.5,1.36,4.6,6.0,1.44,5.2,6.54,1.4,4.8,6.5,1.46,4.85,6.16,1.48,5.2,6.9,1.43,4.97,6.24,1.48,5.3,7.0,1.4,2.88,1.42,3.0,1.45,3.0,1.41,2.87,1.46,3.1,-1.25,1.88,1.98,1.93,1.98,1.93,2.05,1.89,1.93,1.96,2.01
D2,31/08/2024,12:00,Hamburger SV,Preußen Münster,4,1,H,3,0,H,10,15,7,7,13,8,7,10,0,0,0,0,1.38,4.75,7.0,1.43,5.0,6.5,1.33,5.0,7.0,1.39,5.39,7.22,1.4,5.0,6.5,1.4,5.2,6.9,1.43,5.4,7.3,1.39,5.1,6.89,1.4,5.4,7.2,1.44,2.7,1.44,2.87,1.44,2.89,1.41,2.79,1.43,2.88,-1.25,1.8,2.05,1.81,2.07,1.87,2.08,1.81,2.01,1.82,2.07,1.48,4.33,6.0,1.49,4.8,5.75,1.44,4.6,6.0,1.49,4.87,6.16,1.44,4.75,5.5,1.5,4.42,6.34,1.52,4.87,6.34,1.48,4.63,5.82,1.52,5.1,6.6,1.44,2.7,1.45,2.85,1.49,2.88,1.43,2.75,1.48,3.05,-1.25,2.03,1.83,2.05,1.86,2.08,1.88,2.0,1.83,2.1,1.88
D2,01/09/2024,12:30,Schalke 04,1. FC Köln,1,3,A,0,2,A,15,11,7,6,6,17,6,3,2,4,0,0,3.2,3.5,2.15,3.0,3.75,2.15,3.0,3.8,2.1,3.13,3.7,2.17,2.9,3.8,2.1,3.05,3.9,2.14,3.2,3.9,2.21,3.05,3.73,2.16,3.3,3.7,2.24,1.5,2.5,1.5,2.6,1.54,2.6,1.48,2.52,1.31,2.74,0.25,1.95,1.9,1.95,1.9,1.99,1.94,1.93,1.87,2.02,1.92,3.3,3.6,2.05,3.0,3.75,2.15,3.1,3.5,2.0,3.3,3.78,2.14,3.0,3.9,2.05,3.28,3.63,2.12,3.3,4.0,2.2,3.15,3.74,2.11,3.35,3.95,2.2,1.48,2.6,1.49,2.74,1.5,2.85,1.47,2.64,1.53,2.88,0.25,2.03,1.83,2.03,1.88,2.04,1.91,1.99,1.83,2.06,1.92
D2,14/09/2024,19:30,1. FC Köln,Magdeburg,1,2,A,0,0,D,33,11,13,4,13,10,10,2,4,3,0,0,1.5,5.0,5.25,1.49,4.8,5.75,1.47,4.6,5.5,1.49,4.74,5.72,1.44,4.75,5.8,1.5,4.75,5.75,1.51,5.0,6.0,1.48,4.77,5.66,1.5,5.4,6.6,1.44,2.7,1.44,2.8,1.46,2.81,1.43,2.73,1.46,2.92,-1.25,2.05,1.8,2.05,1.82,2.07,1.85,2.02,1.8,2.06,1.86,1.42,5.25,5.75,1.42,5.0,6.5,1.4,4.75,6.5,1.43,5.24,6.72,1.36,5.0,6.5,1.44,5.33,5.84,1.47,5.33,6.9,1.42,5.06,6.33,1.47,5.3,7.2,1.4,2.88,1.4,3.1,1.46,3.14,1.39,2.92,1.43,3.25,-1.25,1.85,2.0,1.88,2.03,1.93,2.05,1.87,1.96,1.92,2.07
D2,15/09/2024,12:30,Hamburger SV,Regensburg,5,0,H,2,0,H,16,4,8,1,12,11,5,4,4,5,0,0,1.33,5.5,8.5,1.34,5.25,8.25,1.29,5.5,9.0,1.3,5.63,8.81,1.29,5.5,8.5,1.32,5.55,8.8,1.34,5.8,9.3,1.31,5.47,8.62,1.33,6.0,9.4,1.53,2.4,1.54,2.5,1.55,2.63,1.52,2.47,1.56,2.6,-1.5,1.9,1.95,1.88,1.95,1.98,2.0,1.89,1.93,,,1.44,4.75,6.25,1.41,5.0,6.75,1.3,4.75,7.0,1.43,5.08,7.02,1.36,4.8,7.0,1.44,4.82,6.6,1.44,5.5,7.7,1.4,4.99,6.89,1.44,5.3,8.2,1.57,2.35,1.56,2.55,1.57,2.6,1.53,2.47,1.6,2.64,-1.25,1.95,1.9,1.96,1.94,1.99,2.05,1.88,1.95,1.94,2.04
D2,21/09/2024,12:00,Fortuna Dusseldorf,1. FC Köln,2,2,D,1,1,D,9,24,5,13,9,11,4,8,2,2,0,0,3.0,3.6,2.2,3.1,3.6,2.2,2.88,3.6,2.25,3.04,3.66,2.3,3.0,3.7,2.1,2.96,3.74,2.24,3.15,3.74,2.31,2.99,3.62,2.23,3.0,3.8,2.34,1.62,2.25,1.65,2.32,1.66,2.38,1.61,2.29,1.65,2.36,0.25,1.88,1.98,1.88,2.01,1.94,2.02,1.88,1.92,1.9,2.03,3.1,3.7,2.15,3.0,3.7,2.15,3.0,3.5,2.15,3.2,3.71,2.21,3.0,3.6,2.15,3.12,3.72,2.16,3.22,3.75,2.42,3.01,3.64,2.22,3.25,3.8,2.3,1.53,2.4,1.61,2.51,1.61,2.52,1.56,2.38,1.62,2.56,0.25,1.95,1.9,1.96,1.93,2.0,2.07,1.89,1.93,1.99,1.99
