squad_player,squad_player_norm,fbref_player,fbref_player_norm,score,method,status
Jonas Urbig,jonas urbig,Jonas Urbig,jonas urbig,100.0,exact_match,matched
Manuel Neuer,manuel neuer,Manuel Neuer,manuel neuer,100.0,manual_mapping,matched
Sven Ulreich,sven ulreich,Sven Ulreich,sven ulreich,100.0,exact_match,matched
Dayot Upamecano,dayot upamecano,Dayot Upamecano,dayot upamecano,100.0,manual_mapping,matched
Jonathan Tah,jonathan tah,Jonathan Tah,jonathan tah,100.0,exact_match,matched
Hiroki Ito,hiroki ito,Hiroki Ito,hiroki ito,100.0,exact_match,matched
Alphonso Davies,alphonso davies,Alphonso Davies,alphonso davies,100.0,manual_mapping,matched
Raphaël Guerreiro,raphael guerreiro,Raphaël Guerreiro,raphael guerreiro,100.0,exact_match,matched
Josip Stanisic,josip stanisic,Josip Stanišić,josip stanisic,100.0,manual_mapping,matched
Konrad Laimer,konrad laimer,Konrad Laimer,konrad laimer,100.0,manual_mapping,matched
Sacha Boey,sacha boey,Sacha Boey,sacha boey,100.0,exact_match,matched
Aleksandar Pavlovic,aleksandar pavlovic,Aleksandar Pavlovic,aleksandar pavlovic,100.0,exact_match,matched
Joshua Kimmich,joshua kimmich,Joshua Kimmich,joshua kimmich,100.0,manual_mapping,matched
Tom Bischof,tom bischof,Tom Bischof,tom bischof,100.0,exact_match,matched
Leon Goretzka,leon goretzka,Leon Goretzka,leon goretzka,100.0,manual_mapping,matched
Jamal Musiala,jamal musiala,Jamal Musiala,jamal musiala,100.0,manual_mapping,matched
Lennart Karl,lennart karl,Lennart Karl,lennart karl,100.0,exact_match,matched
Luis Díaz,luis diaz,Luis Díaz,luis diaz,100.0,exact_match,matched
Serge Gnabry,serge gnabry,Serge Gnabry,serge gnabry,100.0,manual_mapping,matched
Wisdom Mike,wisdom mike,Wisdom Mike,wisdom mike,100.0,exact_match,matched
Michael Olise,michael olise,Michael Olise,michael olise,100.0,exact_match,matched
Harry Kane,harry kane,Harry Kane,harry kane,100.0,exact_match,matched
Nicolas Jackson,nicolas jackson,Nicolas Jackson,nicolas jackson,100.0,exact_match,matched
Mark Flekken,mark flekken,Mark Flekken,mark flekken,100.0,exact_match,matched
Edmond Tapsoba,edmond tapsoba,Edmond Tapsoba,edmond tapsoba,100.0,exact_match,matched
Loïc Badé,loic bade,Loïc Bade,loic bade,100.0,exact_match,matched
Jarell Quansah,jarell quansah,Jarell Quansah,jarell quansah,100.0,exact_match,matched
Jeanuël Belocian,jeanuel belocian,Jeanuël Belocian,jeanuel belocian,100.0,exact_match,matched
Axel Tape,axel tape,Axel Tapé,axel tape,100.0,exact_match,matched
Alejandro Grimaldo,alejandro grimaldo,Álex Grimaldo,alex grimaldo,100.0,manual_mapping,matched
Arthur,arthur,Arthur,arthur,100.0,exact_match,matched
Lucas Vázquez,lucas vazquez,Lucas Vázquez,lucas vazquez,100.0,exact_match,matched
Robert Andrich,robert andrich,Robert Andrich,robert andrich,100.0,manual_mapping,matched
Exequiel Palacios,exequiel palacios,Exequiel Palacios,exequiel palacios,100.0,manual_mapping,matched
Aleix García,aleix garcia,Aleix García,aleix garcia,100.0,exact_match,matched
Malik Tillman,malik tillman,Malik Tillman,malik tillman,100.0,exact_match,matched
Claudio Echeverri,claudio echeverri,Claudio Echeverri,claudio echeverri,100.0,exact_match,matched
Ibrahim Maza,ibrahim maza,Ibrahim Maza,ibrahim maza,100.0,exact_match,matched
Jonas Hofmann,jonas hofmann,Jonas Hofmann,jonas hofmann,100.0,manual_mapping,matched
