team_norm,total_players,matched_players,match_pct
eintracht frankfurt,28,26,92.86
fc bayern munchen,25,23,92.0
fc augsburg,29,26,89.66
borussia dortmund,28,25,89.29
sc freiburg,27,24,88.89
hamburger sv,30,26,86.67
vfl wolfsburg,29,25,86.21
1 fsv mainz 05,29,25,86.21
rb leipzig,29,25,86.21
borussia monchengladbach,29,25,86.21
1 fc koln,29,25,86.21
1 fc heidenheim 1846,27,23,85.19
tsg 1899 hoffenheim,33,28,84.85
bayer 04 leverkusen,26,22,84.62
vfb stuttgart,32,27,84.38
fc st pauli,29,23,79.31
sv werder bremen,31,24,77.42
1 fc union berlin,28,21,75.0
vfl bochum,30,14,46.67
holstein kiel,31,14,45.16
