squad_norm,fbref_norm,reason,score,accepted
bayern munich,fc bayern munchen,manual_map,,
bayern munich,bayern munchen,manual_map,,
bayern munich,fc bayern,manual_map,,
bayern munich,bayern,manual_map,,
bayern munich,bayern munih,manual_map,,
bayern munich,bayern munich,manual_map,,
borussia dortmund,borussia dortmund,manual_map,,
borussia dortmund,bvb dortmund,manual_map,,
borussia dortmund,bvb,manual_map,,
rb leipzig,rasenballsport leipzig,manual_map,,
rb leipzig,rasenball leipzig,manual_map,,
rb leipzig,leipzig,manual_map,,
bayer leverkusen,bayer 04 leverkusen,manual_map,,
bayer leverkusen,bayer leverkusen,manual_map,,
bayer leverkusen,leverkusen,manual_map,,
vfb stuttgart,vfb stuttgart,manual_map,,
eintracht frankfurt,eintracht frankfurt,manual_map,,
eintracht frankfurt,frankfurt,manual_map,,
hoffenheim,1899 hoffenheim,manual_map,,
hoffenheim,tsg 1899 hoffenheim,manual_map,,
hoffenheim,tsg hoffenheim,manual_map,,
hoffenheim,hoffenheim,manual_map,,
sc freiburg,sc freiburg,manual_map,,
werder bremen,sv werder bremen,manual_map,,
werder bremen,werder bremen,manual_map,,
werder bremen,bremen,manual_map,,
borussia mgladbach,borussia monchengladbach,manual_map,,
borussia mgladbach,bor monchengladbach,manual_map,,
borussia mgladbach,borussia mgladbach,manual_map,,
borussia mgladbach,monchengladbach,manual_map,,
borussia mgladbach,gladbach,manual_map,,
vfl wolfsburg,vfl wolfsburg,manual_map,,
fc augsburg,fc augsburg,manual_map,,
heidenheim,1 fc heidenheim 1846,manual_map,,
heidenheim,heidenheim 1846,manual_map,,
heidenheim,heidenheim,manual_map,,
union berlin,1 fc union berlin,manual_map,,
union berlin,union berlin,manual_map,,
mainz 05,1 fsv mainz 05,manual_map,,
mainz 05,mainz 05,manual_map,,
mainz 05,mainz,manual_map,,
bochum,vfl bochum 1848,manual_map,,
bochum,vfl bochum,manual_map,,
bochum,bochum,manual_map,,
1 fc koln,fc koln,manual_map,,
1 fc koln,1 fc koln,manual_map,,
1 fc koln,1fc koln,manual_map,,
1 fc koln,1 fc cologne,manual_map,,
1 fc koln,cologne,manual_map,,
1 fc koln,koeln,manual_map,,
darmstadt,sv darmstadt 98,manual_map,,
darmstadt,darmstadt 98,manual_map,,
darmstadt,darmstadt,manual_map,,
fc st pauli,fc st pauli,manual_map,,
fc st pauli,sankt pauli,manual_map,,
holstein kiel,kiel,manual_map,,
hamburger sv,hamburg,manual_map,,
schalke 04,schalke 04,manual_map,,
hannover 96,hannover 96,manual_map,,
hannover 96,hannover,manual_map,,
energie cottbus,energie cottbus,manual_map,,
energie cottbus,cottbus,manual_map,,
1 fc nurnberg,fc nurnberg,manual_map,,
1 fc nurnberg,nurnberg,manual_map,,
1 fc nurnberg,nuremberg,manual_map,,
1 fc nurnberg,1 fc nurnberg,manual_map,,
1 fc nurnberg,1 fc nuremberg,manual_map,,
1 fc nurnberg,fc nuremberg,manual_map,,
greuther furth,greuther furth,manual_map,,
greuther furth,furth,manual_map,,
arminia bielefeld,arminia bielefeld,manual_map,,
arminia bielefeld,bielefeld,manual_map,,
vfl osnabruck,vfl osnabruck,manual_map,,
vfl osnabruck,osnabruck,manual_map,,
fc wurzburger kickers,fc wurzburger kickers,manual_map,,
fc wurzburger kickers,wurzburger kickers,manual_map,,
fc wurzburger kickers,wurzburg,manual_map,,
fc ingolstadt 04,fc ingolstadt 04,manual_map,,
fc ingolstadt 04,ingolstadt,manual_map,,
fc ingolstadt 04,fc ingolstadt,manual_map,,
fc erzgebirge aue,fc erzgebirge aue,manual_map,,
fc erzgebirge aue,erzgebirge aue,manual_map,,
fc erzgebirge aue,aue,manual_map,,
1 fc heidenheim 1846,heidenheim,,90.0,True
1 fc union berlin,union berlin,,95.0,True
1 fsv mainz 05,mainz 05,,90.0,True
bayer 04 leverkusen,leverkusen,,90.0,True
borussia monchengladbach,gladbach,,90.0,True
eintracht frankfurt,eint frankfurt,,84.85,False
fc bayern munchen,bayern munich,,80.0,False
sv werder bremen,werder bremen,,95.0,True
tsg 1899 hoffenheim,hoffenheim,,90.0,True
vfl bochum,bochum,,90.0,True
